id,section,title,aspect,filename,intended_placement_on_site,prompt_brief,verdict_jp,verdict_colleague,reason_if_regen,notes,preview_path
37,"§4 Gstaad, St Moritz and Alpine Quiet","Window snow, still morning",3:4,gstaad-window-snow.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",85mm.,,,,,_incoming-imagery/04-gstaad-alpine/gstaad-window-snow.jpg
38,"§4 Gstaad, St Moritz and Alpine Quiet",Skis by the door,4:5,gstaad-ski-still.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/04-gstaad-alpine/gstaad-ski-still.jpg
39,"§4 Gstaad, St Moritz and Alpine Quiet","Alpine pass, early sun",21:9,gstaad-alpine-pass.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",24mm.,,,,,_incoming-imagery/04-gstaad-alpine/gstaad-alpine-pass.jpg
40,"§4 Gstaad, St Moritz and Alpine Quiet",Cashmere folded,1:1,gstaad-cashmere-throw.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",100mm macro.,,,,,_incoming-imagery/04-gstaad-alpine/gstaad-cashmere-throw.jpg
41,"§4 Gstaad, St Moritz and Alpine Quiet","Village path, morning",16:9,gstaad-village-path.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/04-gstaad-alpine/gstaad-village-path.jpg
42,"§4 Gstaad, St Moritz and Alpine Quiet",Chalet library,4:5,gstaad-interior-library.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",28mm.,,,,,_incoming-imagery/04-gstaad-alpine/gstaad-interior-library.jpg
43,"§4 Gstaad, St Moritz and Alpine Quiet","St Moritz lake, 16:00",21:9,stmoritz-lake-afternoon.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",24mm.,,,,,_incoming-imagery/04-gstaad-alpine/stmoritz-lake-afternoon.jpg
44,"§4 Gstaad, St Moritz and Alpine Quiet",Engadin window seat,4:5,stmoritz-lobby-window.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",50mm.,,,,,_incoming-imagery/04-gstaad-alpine/stmoritz-lobby-window.jpg
45,"§4 Gstaad, St Moritz and Alpine Quiet","Morning coffee, balcony",1:1,alpine-morning-coffee.jpg,Seasonal bank — spring dinner,85mm.,,,,,_incoming-imagery/04-gstaad-alpine/alpine-morning-coffee.jpg
46,"§4 Gstaad, St Moritz and Alpine Quiet","Ski bag, threshold",16:9,alpine-skihold-macro.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/04-gstaad-alpine/alpine-skihold-macro.jpg
47,"§4 Gstaad, St Moritz and Alpine Quiet","Pine needles, close",1:1,alpine-pine-detail.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",100mm macro.,,,,,_incoming-imagery/04-gstaad-alpine/alpine-pine-detail.jpg
48,"§4 Gstaad, St Moritz and Alpine Quiet",Larch at dusk,3:4,alpine-dusk-larch.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",135mm.,,,,,_incoming-imagery/04-gstaad-alpine/alpine-dusk-larch.jpg
49,§5 Monaco and the Côte d'Azur,Monte Carlo balcony,16:9,monaco-balcony-17h.jpg,Seasonal bank — summer blue hour,24mm.,,,,,_incoming-imagery/05-monaco-cote-dazur/monaco-balcony-17h.jpg
50,§5 Monaco and the Côte d'Azur,Cap Ferrat terrace,4:5,capferrat-terrace.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/05-monaco-cote-dazur/capferrat-terrace.jpg
51,§5 Monaco and the Côte d'Azur,"Private study, lamplit",1:1,monaco-study-lamplit.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.","50mm, f/2.",,,,,_incoming-imagery/05-monaco-cote-dazur/monaco-study-lamplit.jpg
52,§5 Monaco and the Côte d'Azur,Monte Carlo doorstep,4:5,monaco-threshold.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/05-monaco-cote-dazur/monaco-threshold.jpg
53,§5 Monaco and the Côte d'Azur,"Cape, late afternoon",3:4,cotedazur-cape.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",85mm.,,,,,_incoming-imagery/05-monaco-cote-dazur/cotedazur-cape.jpg
54,§5 Monaco and the Côte d'Azur,"Car at the curb, harbour road",16:9,monaco-car-kerb.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",28mm.,,,,,_incoming-imagery/05-monaco-cote-dazur/monaco-car-kerb.jpg
55,§5 Monaco and the Côte d'Azur,Coastal breakfast tray,3:4,coastal-breakfast-tray.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",50mm.,,,,,_incoming-imagery/05-monaco-cote-dazur/coastal-breakfast-tray.jpg
56,§5 Monaco and the Côte d'Azur,"Harbour mist, early",21:9,monaco-harbour-mist.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",135mm.,,,,,_incoming-imagery/05-monaco-cote-dazur/monaco-harbour-mist.jpg
57,§5 Monaco and the Côte d'Azur,"Menton lemon, restrained",1:1,menton-lemon-detail.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",100mm macro.,,,,,_incoming-imagery/05-monaco-cote-dazur/menton-lemon-detail.jpg
58,§5 Monaco and the Côte d'Azur,"Promenade, overcast",16:9,nice-promenade.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/05-monaco-cote-dazur/nice-promenade.jpg
59,"§6 Ibiza, Mykonos, Mustique — Islands","Ibiza finca, 17:30",4:5,ibiza-cala-stone-house.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",28mm.,,,,,_incoming-imagery/06-mediterranean-islands/ibiza-cala-stone-house.jpg
60,"§6 Ibiza, Mykonos, Mustique — Islands","Mykonos threshold, open door",4:5,mykonos-threshold.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/06-mediterranean-islands/mykonos-threshold.jpg
61,"§6 Ibiza, Mykonos, Mustique — Islands",Cycladic stair,3:4,mykonos-staircase.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",85mm.,,,,,_incoming-imagery/06-mediterranean-islands/mykonos-staircase.jpg
62,"§6 Ibiza, Mykonos, Mustique — Islands","Linen curtain, breath of wind",1:1,ibiza-linen-curtain.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",100mm.,,,,,_incoming-imagery/06-mediterranean-islands/ibiza-linen-curtain.jpg
63,"§6 Ibiza, Mykonos, Mustique — Islands","Mustique veranda, 17:00",16:9,mustique-veranda.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/06-mediterranean-islands/mustique-veranda.jpg
64,"§6 Ibiza, Mykonos, Mustique — Islands","Island kitchen, stone",4:5,island-kitchen-stone.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",50mm.,,,,,_incoming-imagery/06-mediterranean-islands/island-kitchen-stone.jpg
65,"§6 Ibiza, Mykonos, Mustique — Islands","Bougainvillea, restrained",1:1,ibiza-bougainvillea-restrained.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",135mm.,,,,,_incoming-imagery/06-mediterranean-islands/ibiza-bougainvillea-restrained.jpg
66,"§6 Ibiza, Mykonos, Mustique — Islands","Mykonos jetty, stillness",21:9,mykonos-jetty.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",28mm.,,,,,_incoming-imagery/06-mediterranean-islands/mykonos-jetty.jpg
67,"§6 Ibiza, Mykonos, Mustique — Islands","Hand on railing, salt air",1:1,mustique-hand-railing.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.","85mm, f/2.",,,,,_incoming-imagery/06-mediterranean-islands/mustique-hand-railing.jpg
68,"§6 Ibiza, Mykonos, Mustique — Islands","Stone pool, still",16:9,mediterranean-pool-stone.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/06-mediterranean-islands/mediterranean-pool-stone.jpg
69,"§6 Ibiza, Mykonos, Mustique — Islands","Olive grove, Ibiza",3:4,ibiza-hilltop-olive.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",50mm.,,,,,_incoming-imagery/06-mediterranean-islands/ibiza-hilltop-olive.jpg
70,"§6 Ibiza, Mykonos, Mustique — Islands","Cycladic candle, 19:30",1:1,mykonos-evening-candle.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.","85mm, f/2.",,,,,_incoming-imagery/06-mediterranean-islands/mykonos-evening-candle.jpg
71,"§6 Ibiza, Mykonos, Mustique — Islands","Garden stone, morning",16:9,island-garden-stone.jpg,Seasonal bank — spring / magnolia register,28mm.,,,,,_incoming-imagery/06-mediterranean-islands/island-garden-stone.jpg
72,"§6 Ibiza, Mykonos, Mustique — Islands","Hammock detail, late light",1:1,mustique-hammock-detail.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",100mm macro.,,,,,_incoming-imagery/06-mediterranean-islands/mustique-hammock-detail.jpg
73,§7 Provence and European Countryside,"Provence farmhouse, 08:00",4:5,provence-farmhouse.jpg,Seasonal bank — autumn lurcher walk,35mm.,,,,,_incoming-imagery/07-provence-countryside/provence-farmhouse.jpg
74,§7 Provence and European Countryside,"Lavender field, restrained",16:9,provence-lavender-restrained.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",85mm.,,,,,_incoming-imagery/07-provence-countryside/provence-lavender-restrained.jpg
75,§7 Provence and European Countryside,"Farmhouse kitchen, quiet",4:5,provence-kitchen-terracotta.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",50mm.,,,,,_incoming-imagery/07-provence-countryside/provence-kitchen-terracotta.jpg
76,§7 Provence and European Countryside,Tuscan loggia,16:9,tuscany-villa-loggia.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",28mm.,,,,,_incoming-imagery/07-provence-countryside/tuscany-villa-loggia.jpg
77,§7 Provence and European Countryside,"Garden path, afternoon",3:4,provence-garden-path.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/07-provence-countryside/provence-garden-path.jpg
78,§7 Provence and European Countryside,"Tuscan window, cool light",1:1,tuscan-window-sill.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",85mm.,,,,,_incoming-imagery/07-provence-countryside/tuscan-window-sill.jpg
79,§7 Provence and European Countryside,Empty country road,21:9,countryside-road.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",50mm.,,,,,_incoming-imagery/07-provence-countryside/countryside-road.jpg
80,§7 Provence and European Countryside,Vineyard morning,16:9,provence-vineyard-morning.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",28mm.,,,,,_incoming-imagery/07-provence-countryside/provence-vineyard-morning.jpg
81,§7 Provence and European Countryside,"Outdoor tub, courtyard",4:5,provence-outdoor-bath.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/07-provence-countryside/provence-outdoor-bath.jpg
82,§7 Provence and European Countryside,"Single oak, shadow long",16:9,countryside-oak-shadow.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",135mm.,,,,,_incoming-imagery/07-provence-countryside/countryside-oak-shadow.jpg
83,§8 Caribbean and Transatlantic,"Caribbean veranda, 18:00",16:9,caribbean-veranda-18h.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/08-caribbean-transatlantic/caribbean-veranda-18h.jpg
84,§8 Caribbean and Transatlantic,"New York pied-à-terre, morning",4:5,nyc-pied-a-terre.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",28mm.,,,,,_incoming-imagery/08-caribbean-transatlantic/nyc-pied-a-terre.jpg
85,§8 Caribbean and Transatlantic,"Quiet dock, Bahamas",21:9,bahamas-dock.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",85mm.,,,,,_incoming-imagery/08-caribbean-transatlantic/bahamas-dock.jpg
86,§8 Caribbean and Transatlantic,"House doorway, dusk",3:4,caribbean-house-doorway.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",35mm.,,,,,_incoming-imagery/08-caribbean-transatlantic/caribbean-house-doorway.jpg
87,§8 Caribbean and Transatlantic,"Mustique interior, cool late",4:5,mustique-interior.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",50mm.,,,,,_incoming-imagery/08-caribbean-transatlantic/mustique-interior.jpg
88,§8 Caribbean and Transatlantic,"Walled garden, morning",16:9,barbados-garden.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",28mm.,,,,,_incoming-imagery/08-caribbean-transatlantic/barbados-garden.jpg
89,§8 Caribbean and Transatlantic,"Cabin window, cruise height",4:5,transatlantic-cruise-window.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",85mm.,,,,,_incoming-imagery/08-caribbean-transatlantic/transatlantic-cruise-window.jpg
90,§8 Caribbean and Transatlantic,"Pool edge, dawn",1:1,caribbean-pool-edge.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",100mm.,,,,,_incoming-imagery/08-caribbean-transatlantic/caribbean-pool-edge.jpg
91,§9 Domestic Interiors — Before and After,Breakfast tray at the sash,4:5,interior-breakfast-tray.jpg,"Library reserve — in BRAND_IMAGES but not currently wired to a typed slot. Available for future use, secondary scenes, or replacement of a primary slot if J-P prefers.",85mm.,,,,,_incoming-imagery/09-domestic-interiors/interior-breakfast-tray.jpg
